N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,외국인비율
600.0,KODEX 골드선물(H),12070.0,55.0,+0.46%,0.0,185309.0,12055.0,12070.0,12040.0,0.0
601.0,해태제과식품,6580.0,0.0,0.00%,500.0,12040.0,6580.0,6700.0,6560.0,0.67
602.0,아남전자,2480.0,95.0,+3.98%,500.0,3778412.0,2365.0,2485.0,2365.0,3.38
603.0,제일파마홀딩스,11970.0,30.0,-0.25%,500.0,9498.0,12080.0,12080.0,11830.0,10.03
604.0,제이에스코퍼레이션,14290.0,120.0,-0.83%,100.0,50363.0,14420.0,14500.0,14050.0,1.5
605.0,태경산업,6510.0,40.0,+0.62%,500.0,89952.0,6600.0,6610.0,6470.0,3.8
606.0,대성산업,4200.0,10.0,+0.24%,5000.0,56913.0,4225.0,4225.0,4165.0,0.0
607.0,삼영전자,9490.0,40.0,+0.42%,500.0,12327.0,9490.0,9510.0,9400.0,39.85
608.0,TIGER 차이나과창판STAR50(합성),7535.0,10.0,-0.13%,0.0,41968.0,7530.0,7580.0,7470.0,2.15
609.0,경인양행,4545.0,105.0,+2.36%,500.0,41729.0,4445.0,4545.0,4440.0,3.14
610.0,일진전기,5080.0,50.0,+0.99%,1000.0,225965.0,5090.0,5100.0,5000.0,1.56
611.0,신세계푸드,48600.0,250.0,+0.52%,5000.0,5079.0,48350.0,48850.0,48350.0,3.72
612.0,한세예스24홀딩스,4700.0,60.0,-1.26%,500.0,24392.0,4775.0,4850.0,4675.0,2.76
613.0,진흥기업,1290.0,19.0,-1.45%,500.0,636779.0,1309.0,1313.0,1283.0,1.25
614.0,유수홀딩스,7200.0,20.0,+0.28%,2500.0,12553.0,7170.0,7240.0,7170.0,17.23
615.0,예스코홀딩스,31150.0,50.0,-0.16%,5000.0,3483.0,31350.0,31350.0,31150.0,10.68
616.0,LG우,61400.0,700.0,+1.15%,5000.0,6827.0,60300.0,61500.0,60300.0,42.46
617.0,TIGER 중장기국채,47820.0,140.0,+0.29%,0.0,3125.0,47625.0,47820.0,47540.0,0.0
618.0,STX중공업,6380.0,340.0,-5.06%,2500.0,591723.0,6550.0,6900.0,6130.0,1.14
619.0,진양홀딩스,3250.0,10.0,+0.31%,500.0,26405.0,3230.0,3260.0,3210.0,1.97
620.0,코람코더원리츠,4480.0,45.0,-0.99%,500.0,46517.0,4585.0,4585.0,4450.0,0.49
621.0,현대리바트,8800.0,40.0,-0.45%,1000.0,35265.0,8840.0,8930.0,8790.0,4.5
622.0,삼성제약,2690.0,10.0,+0.37%,500.0,91076.0,2705.0,2715.0,2670.0,4.64
623.0,동남합성,49500.0,450.0,+0.92%,500.0,2767.0,49100.0,49650.0,48750.0,0.01
624.0,동아지질,12640.0,0.0,0.00%,500.0,28228.0,12670.0,12900.0,12440.0,4.41
625.0,NI스틸,6210.0,0.0,0.00%,500.0,608145.0,6400.0,6650.0,5910.0,4.05
626.0,신라교역,11090.0,90.0,+0.82%,500.0,9644.0,11010.0,11090.0,10900.0,3.22
627.0,ARIRANG 고배당주,12075.0,125.0,-1.02%,0.0,112485.0,12270.0,12270.0,12045.0,0.31
628.0,DB금융투자,4150.0,25.0,-0.60%,5000.0,66483.0,4170.0,4210.0,4135.0,9.07
629.0,아시아나IDT,15860.0,300.0,-1.86%,500.0,41707.0,16160.0,16190.0,15850.0,0.83
